,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
2441,Steve Kuberski,1970,1978,F-C,6-8,215,"November 6, 1947",Bradley
2442,Leo Kubiak,1950,1950,G,5-11,160,"December 25, 1927",Bowling Green
2443,Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",UConn
2444,Frank Kudelka,1950,1953,G-F,6-2,193,"June 25, 1925",Saint Mary's
2445,John Kuester,1978,1980,G,6-2,180,"February 6, 1955",UNC
2446,Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",Notre Dame
2447,Toni Kukoč,1994,2006,F,6-10,192,"September 18, 1968",
2448,Kevin Kunnert,1974,1982,C-F,7-0,230,"November 11, 1951",Iowa
2449,Terry Kunze,1968,1968,G-F,6-4,210,"March 11, 1943",Minnesota
2450,Mitch Kupchak,1977,1986,F-C,6-9,230,"May 24, 1954",UNC
2451,C.J. Kupec,1976,1978,F-C,6-6,220,"January 26, 1953",Michigan
2452,Rodions Kurucs,2019,2021,F,6-9,228,"February 5, 1998",
2453,Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",Notre Dame
2454,Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",
2455,Kyle Kuzma,2018,2021,F,6-10,221,"July 24, 1995",Utah
2456,Ognjen Kuzmić,2014,2015,C,7-1,251,"May 16, 1990",
2457,Mindaugas Kuzminskas,2017,2018,F,6-9,215,"October 19, 1989",
2458,Fred LaCour,1961,1963,G-F,6-5,210,"February 7, 1938",San Francisco
2459,Raef LaFrentz,1999,2008,F-C,6-11,240,"May 29, 1976",Kansas
2460,Tom LaGarde,1978,1985,C-F,6-10,220,"February 10, 1955",UNC
2461,Rusty LaRue,1998,2004,G,6-2,210,"December 10, 1973",Wake Forest
2462,Rudy LaRusso,1960,1969,F-C,6-7,220,"November 11, 1937",Dartmouth College
2463,Zach LaVine,2015,2021,G,6-5,200,"March 10, 1995",UCLA
2464,Skal Labissière,2017,2020,F,6-10,235,"March 18, 1996",Kentucky
2465,Reggie Lacefield,1969,1969,G-F,6-5,230,"April 10, 1945",Western Michigan
2466,Edgar Lacey,1969,1969,F,6-6,190,"August 2, 1944",UCLA
2467,Sam Lacey,1971,1983,C,6-10,235,"March 28, 1948",New Mexico State
2468,Bob Lackey,1973,1974,G-F,6-5,200,"April 4, 1949",Marquette
2469,Wendell Ladner,1971,1975,F,6-5,220,"October 6, 1948",Southern Miss
2470,Christian Laettner,1993,2005,F-C,6-11,235,"August 17, 1969",Duke
2471,Oliver Lafayette,2010,2010,G,6-2,190,"May 6, 1984",Houston
2472,Bill Laimbeer,1981,1994,C,6-11,245,"May 19, 1957",Notre Dame
2473,Pete Lalich,1947,1947,F,6-2,190,"June 23, 1920",Ohio University
2474,Bo Lamar,1974,1977,G,6-1,180,"April 7, 1951",Louisiana
2475,Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",Kentucky
2476,Jeremy Lamb,2013,2021,G-F,6-5,180,"May 30, 1992",UConn
2477,John Lambert,1976,1982,C-F,6-10,225,"January 14, 1953",USC
2478,Jeff Lamp,1982,1989,F-G,6-6,195,"March 9, 1959",Virginia
2479,Maciej Lampe,2004,2006,C,6-11,275,"February 5, 1985",
2480,Jim Lampley,1987,1987,C,6-10,230,"July 2, 1960","Vanderbilt, Little Rock"
2481,Sean Lampley,2003,2004,F,6-7,227,"September 3, 1979",California
2482,Carl Landry,2008,2016,F,6-9,248,"September 19, 1983",Purdue
2483,Marcus Landry,2010,2010,F,6-7,230,"November 1, 1985",Wisconsin
2484,Mark Landsberger,1978,1984,F-C,6-8,215,"May 21, 1955","Minnesota, Arizona State"
2485,Jerome Lane,1989,1993,F,6-6,230,"December 4, 1966",Pitt
2486,Andrew Lang,1989,2000,C,6-11,245,"June 28, 1966",Arkansas
2487,Antonio Lang,1995,2000,F-G,6-8,205,"May 15, 1972",Duke
2488,James Lang,2007,2007,C,6-10,285,"October 17, 1983",
2489,Trajan Langdon,2000,2002,G,6-3,197,"May 13, 1976",Duke
2490,Keith Langford,2008,2008,G,6-4,215,"September 15, 1983",Kansas
2491,Romeo Langford,2020,2020,G,6-4,216,"October 25, 1999",Indiana
2492,Dan Langhi,2001,2004,F,6-11,220,"November 28, 1977",Vanderbilt
2493,Bob Lanier*,1971,1984,C,6-11,250,"September 10, 1948",St. Bonaventure
2494,Stu Lantz,1969,1976,G,6-3,175,"July 13, 1946",Nebraska
2495,Nicolás Laprovíttola,2017,2017,G,6-4,180,"January 31, 1990",
2496,York Larese,1962,1962,G,6-4,183,"July 18, 1938",UNC
2497,Shane Larkin,2014,2018,G,5-11,175,"October 2, 1992",Miami (FL)
2498,John Laskowski,1976,1977,G,6-6,185,"June 7, 1953",Indiana
2499,Stéphane Lasme,2008,2008,F,6-8,215,"December 17, 1982",UMass
2500,Dave Lattin,1968,1973,F-C,6-6,225,"December 23, 1943",Texas-El Paso
2501,Priest Lauderdale,1997,1998,C,7-4,325,"August 31, 1973",Central State University
2502,Rich Laurel,1978,1978,G,6-6,190,"July 11, 1954",Hofstra
2503,Harry Laurie,1971,1971,G,6-1,178,"November 2, 1944",Saint Peter's College
2504,Walt Lautenbach,1950,1950,G-F,6-2,185,"November 17, 1922",Wisconsin
2505,Joffrey Lauvergne,2015,2018,C-F,6-11,220,"September 30, 1991",
2506,Tony Lavelli,1950,1951,F,6-3,185,"July 11, 1926",Yale
2507,Bob Lavoy,1951,1954,F-C,6-7,185,"June 29, 1926",Western Kentucky
2508,Acie Law,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M
2509,Vic Law,2020,2020,F,6-7,200,"December 19, 1995",Northwestern
2510,Gani Lawal,2011,2011,F,6-9,234,"November 7, 1988",Georgia Tech
2511,Edmund Lawrence,1981,1981,C,7-0,228,"December 8, 1952",McNeese State University
2512,Jason Lawson,1998,1998,C,6-11,240,"September 2, 1974",Villanova
2513,Ty Lawson,2010,2017,G,5-11,195,"November 3, 1987",UNC
2514,Jake Layman,2017,2021,F,6-8,209,"March 7, 1994",Maryland
2515,Mo Layton,1972,1978,G,6-1,180,"December 24, 1948",USC
2516,Caris LeVert,2017,2021,G-F,6-6,205,"August 25, 1994",Michigan
2517,T.J. Leaf,2018,2020,F,6-10,222,"April 30, 1997",UCLA
2518,Manny Leaks,1969,1974,C-F,6-8,225,"November 27, 1945",Niagara University
2519,Hal Lear,1957,1957,G,6-0,163,"January 31, 1935",Temple
2520,Allen Leavell,1980,1989,G,6-1,170,"May 27, 1957",Oklahoma City University
2521,Jeff Lebo,1990,1990,G,6-2,180,"October 5, 1966",UNC
2522,Eric Leckner,1989,1997,C-F,6-11,265,"May 27, 1966",Wyoming
2523,Jalen Lecque,2020,2021,G,6-4,185,"June 13, 2000",
2524,Ricky Ledo,2014,2015,G,6-7,195,"September 10, 1992",
2525,Butch Lee,1979,1980,G,6-0,185,"December 5, 1956",Marquette
2526,Clyde Lee,1967,1976,F-C,6-10,205,"March 14, 1944",Vanderbilt
2527,Courtney Lee,2009,2020,G,6-5,215,"October 3, 1985",Western Kentucky
2528,Damion Lee,2018,2021,G,6-5,210,"October 21, 1992","Drexel, Louisville"
2529,David Lee,1968,1969,F,6-7,225,"March 31, 1942",San Francisco
2530,David Lee,2006,2017,F,6-9,245,"April 29, 1983",Florida
2531,Dick Lee,1968,1968,F,6-6,,,Washington
2532,Doug Lee,1992,1995,G-F,6-5,200,"October 24, 1964","Texas A&M, Purdue"
2533,George Lee,1961,1968,F-G,6-4,200,"November 23, 1936",Michigan
2534,Greg Lee,1975,1976,G,6-3,190,"December 12, 1951",UCLA
2535,Keith Lee,1986,1989,F-C,6-10,215,"December 28, 1962",Memphis
2536,Kurk Lee,1991,1991,G,6-3,190,"June 3, 1967","Western Kentucky, Towson University"
2537,Malcolm Lee,2012,2015,G,6-5,200,"May 22, 1990",UCLA
2538,Rock Lee,1982,1982,C,6-10,220,"May 1, 1955","California, San Diego State"
2539,Ron Lee,1977,1982,G,6-4,193,"November 2, 1952",Oregon
2540,Russ Lee,1973,1975,G-F,6-5,185,"January 27, 1950",Marshall
2541,Saben Lee,2021,2021,G,6-2,183,"June 23, 1999",Vanderbilt
2542,Ed Leede,1950,1951,F-G,6-3,185,"July 17, 1927",Dartmouth College
2543,Hank Lefkowitz,1947,1947,F,6-2,190,"August 31, 1923",Case Western Reserve University
2544,Tim Legler,1990,2000,G,6-4,200,"December 26, 1966",La Salle
2545,George Lehmann,1968,1974,G,6-0,180,"May 1, 1942",Campbell
2546,Walt Lemon,2018,2019,G,6-3,180,"July 26, 1992",Bradley
2547,Alex Len,2014,2021,C,7-0,250,"June 16, 1993",Maryland
2548,Voshon Lenard,1996,2006,G,6-4,205,"May 14, 1973",Minnesota
2549,Leary Lentz,1968,1969,F,6-6,200,"February 23, 1945",Houston
2550,Gary Leonard,1990,1992,C,7-1,250,"February 16, 1967",Missouri
2551,Kawhi Leonard,2012,2021,F,6-7,225,"June 29, 1991",San Diego State
2552,Meyers Leonard,2013,2021,C-F,7-0,260,"February 27, 1992",Illinois
2553,Slick Leonard*,1957,1963,G,6-3,185,"July 17, 1932",Indiana
2554,Jim Les,1989,1995,G,5-11,165,"August 18, 1963","Cleveland State University, Bradley"
2555,Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",Georgia
2556,Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",Iowa
2557,Clifford Lett,1990,1991,G,6-3,170,"December 23, 1965",Florida
2558,Jon Leuer,2012,2019,F,6-10,228,"May 14, 1989",Wisconsin
2559,Andrew Levane,1949,1953,F-G,6-2,190,"April 11, 1920",St. John's
2560,Fat Lever,1983,1994,G,6-3,170,"August 18, 1960",Arizona State
2561,Cliff Levingston,1983,1995,F,6-8,210,"January 4, 1961",Wichita State
2562,Bobby Lewis,1968,1971,G,6-3,175,"March 20, 1945",UNC
2563,Cedric Lewis,1996,1996,F-C,6-10,235,"September 24, 1969",Maryland
2564,Freddie Lewis,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University
2565,Freddie Lewis,1967,1977,G,6-0,175,"July 1, 1943",Arizona State
2566,Grady Lewis,1947,1949,F-C,6-7,215,"March 25, 1917",Oklahoma
2567,Kira Lewis,2021,2021,G,6-1,170,"April 6, 2001",Alabama
2568,Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975","Butler County Community College, Seward County Community College"
2569,Mike Lewis,1969,1974,C-F,6-8,225,"March 18, 1946",Duke
2570,Quincy Lewis,2000,2004,F,6-7,215,"June 26, 1977",Minnesota
2571,Ralph Lewis,1988,1990,F-G,6-6,200,"March 28, 1963",La Salle
2572,Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",
2573,Reggie Lewis,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University
2574,Marcus Liberty,1991,1994,F,6-8,205,"October 27, 1968",Illinois
2575,Todd Lichti,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford
2576,Barry Liebowitz,1968,1968,G,6-2,180,"September 10, 1945",Long Island University
2577,DeAndre Liggins,2012,2018,G,6-6,209,"March 31, 1988",Kentucky
2578,Bill Ligon,1975,1975,G,6-4,180,"May 29, 1952",Vanderbilt
2579,Goose Ligon,1968,1974,F-C,6-7,210,"February 22, 1944",
2580,Damian Lillard,2013,2021,G,6-2,195,"July 15, 1990",Weber State
2581,Jeremy Lin,2011,2019,G,6-3,200,"August 23, 1988",Harvard University
2582,Steve Lingenfelter,1983,1984,F,6-9,225,"June 10, 1958","Minnesota, South Dakota State"
2583,Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State
2584,Nassir Little,2020,2021,F,6-5,220,"February 11, 2000",UNC
2585,Samuel Little,1970,1970,G,6-0,180,"March 29, 1946",Delta State University
2586,Gene Littles,1970,1975,G,6-0,160,"June 29, 1943",High Point University
2587,Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",LSU
2588,Shaun Livingston,2005,2019,G,6-7,192,"September 11, 1985",
2589,Ron Livingstone,1950,1951,C,6-10,220,"October 9, 1925",Wyoming
2590,Horacio Llamas Grey,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University
2591,Bobby Lloyd,1968,1969,G,6-2,184,"January 3, 1946",Rutgers University
2592,Chuck Lloyd,1971,1971,C-F,6-8,220,"May 22, 1947",Yankton College
2593,Earl Lloyd*,1951,1960,F-C,6-5,200,"April 3, 1928",West Virginia State University
2594,Lewis Lloyd,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University
2595,Scott Lloyd,1977,1983,C-F,6-10,230,"December 19, 1952",Arizona State
2596,Riney Lochmann,1968,1970,F,6-6,215,"May 26, 1944",Kansas
2597,Bob Lochmueller,1953,1953,F,6-5,185,"June 5, 1927",Louisville
2598,Rob Lock,1989,1989,F,6-9,225,"May 22, 1966",Kentucky
2599,Darrell Lockhart,1984,1984,C,6-9,245,"September 14, 1960",Auburn
2600,Ian Lockhart,1991,1991,F,6-8,240,"June 25, 1967",Tennessee
2601,Kevin Loder,1982,1984,F-G,6-6,205,"March 15, 1959","Kentucky State University, Alabama State University"
2602,Don Lofgran,1951,1954,F-C,6-5,200,"November 8, 1929",San Francisco
2603,Zach Lofton,2019,2019,G,6-4,180,"November 18, 1992","Illinois State, Texas Southern, New Mexico State"
2604,Henry Logan,1969,1970,G,6-0,180,"March 14, 1946",Western Carolina University
2605,John Logan,1947,1951,G,6-2,175,"January 1, 1921",Indiana
2606,Brad Lohaus,1988,1998,F-C,6-11,230,"September 29, 1964",Iowa
2607,Art Long,2001,2003,F-C,6-9,250,"October 1, 1972",Cincinnati
2608,Grant Long,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan
2609,John Long,1979,1997,G-F,6-5,195,"August 28, 1956",Detroit Mercy
2610,Paul Long,1968,1971,G,6-2,180,"February 8, 1944",Wake Forest
2611,Shawn Long,2017,2017,C-F,6-9,255,"January 29, 1993",Louisiana
2612,Willie Long,1972,1974,F-C,6-8,225,"March 1, 1950",New Mexico
2613,Luc Longley,1992,2001,C,7-2,265,"January 19, 1969",New Mexico
2614,Kevon Looney,2016,2021,F-C,6-9,222,"February 6, 1996",UCLA
2615,Brook Lopez,2009,2021,C,7-0,282,"April 1, 1988",Stanford
2616,Felipe López,1999,2002,G,6-5,199,"December 19, 1974",St. John's
2617,Raül López,2004,2005,G,6-1,170,"April 15, 1980",
2618,Robin Lopez,2009,2021,C,7-0,281,"April 1, 1988",Stanford
2619,Ryan Lorthridge,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University
2620,Jim Loscutoff,1956,1964,F,6-5,220,"February 4, 1930",Oregon
2621,Plummer Lott,1968,1969,F-G,6-5,210,"December 11, 1945",Seattle University
2622,Kevin Loughery,1963,1973,G,6-3,190,"March 28, 1940","Boston College, St. John's"
2623,Bob Love,1967,1977,F,6-8,215,"December 8, 1942",Southern University and A&M College
2624,Kevin Love,2009,2021,F,6-8,251,"September 7, 1988",UCLA
2625,Stan Love,1972,1975,F,6-9,215,"April 9, 1949",Oregon
2626,Clyde Lovellette*,1954,1964,C-F,6-9,234,"September 7, 1929",Kansas
2627,Sidney Lowe,1984,1990,G,6-0,195,"January 21, 1960",NC State
2628,Charlie Lowery,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound
2629,Kyle Lowry,2007,2021,G,6-0,196,"March 25, 1986",Villanova
2630,Jordan Loyd,2019,2019,G,6-4,210,"July 27, 1993","Furman University, University of Indianapolis"
2631,Al Lucas,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham
2632,Jerry Lucas*,1964,1974,F-C,6-8,230,"March 30, 1940",Ohio State
2633,John Lucas,1977,1990,G,6-3,175,"October 31, 1953",Maryland
2634,Kalin Lucas,2015,2019,G,6-1,195,"May 24, 1989",Michigan State
2635,Maurice Lucas,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette
2636,John Lucas III,2006,2017,G,5-11,166,"November 21, 1982","Baylor, Oklahoma State"
2637,Ted Luckenbill,1962,1963,F,6-6,205,"July 27, 1939",Houston
2638,Tyronn Lue,1999,2009,G,6-0,175,"May 3, 1977",Nebraska
2639,Jim Luisi,1954,1954,G,6-2,180,"November 2, 1928",St. Francis College
2640,Al Lujack,1947,1947,F,6-3,220,"October 5, 1920",Georgetown
2641,Phil Lumpkin,1975,1976,G,6-0,165,"December 20, 1951",Miami University
2642,Ray Lumpp,1949,1953,G,6-1,178,"July 11, 1923",NYU
2643,Timothé Luwawu-Cabarrot,2017,2021,F,6-7,220,"May 9, 1995",
2644,Tyler Lydon,2018,2019,F,6-10,225,"April 9, 1996",Syracuse
2645,Trey Lyles,2016,2021,F,6-9,234,"November 5, 1995",Kentucky
2646,R.B. Lynam,1968,1968,G,6-1,190,,Oklahoma Baptist University
2647,George Lynch,1994,2005,F,6-8,218,"September 3, 1970",UNC
2648,Kevin Lynch,1992,1993,G-F,6-5,195,"December 24, 1968",Minnesota
2649,Lonnie Lynn,1970,1970,F,6-7,215,"May 24, 1943",Wilberforce University
2650,Mike Lynn,1970,1971,F,6-7,215,"November 25, 1945",UCLA
2651,Sheldon Mac,2017,2017,G,6-5,200,"December 21, 1992",Miami (FL)
2652,Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976",Washington
2653,Ronnie MacGilvray,1955,1955,G,6-2,185,"July 20, 1930",St. John's
2654,Don MacLean,1993,2001,F,6-10,235,"January 16, 1970",UCLA
2655,Mike Macaluso,1974,1974,F,6-5,210,"July 20, 1951",Canisius
2656,Ed Macauley*,1950,1959,C-F,6-8,185,"March 22, 1928",Saint Louis
2657,Scott Machado,2013,2019,G,6-1,205,"June 8, 1990",Iona College
2658,Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",
2659,Ollie Mack,1980,1982,G,6-3,185,"June 6, 1957",East Carolina University
2660,Sam Mack,1993,2002,F-G,6-7,220,"May 26, 1970","Iowa State, Tyler Junior College, Houston"
2661,Shelvin Mack,2012,2019,G,6-3,203,"April 22, 1990",Butler
2662,Malcolm Mackey,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Tech
2663,Rudy Macklin,1982,1984,F-G,6-7,205,"February 19, 1958",LSU
2664,Vernon Macklin,2012,2012,F,6-10,227,"September 20, 1986","Georgetown, Florida"
2665,Johnny Macknowski,1950,1951,G-F,6-0,180,"January 7, 1923",Seton Hall
2666,Daryl Macon,2019,2020,G,6-2,185,"November 29, 1995",Arkansas
2667,Mark Macon,1992,1999,G,6-5,185,"April 14, 1969",Temple
2668,J.P. Macura,2019,2020,G,6-5,203,"June 5, 1995",Xavier
2669,Kyle Macy,1981,1987,G,6-3,175,"April 9, 1957","Purdue, Kentucky"
2670,Jack Maddox,1949,1949,F-G,6-3,185,"December 10, 1919",West Texas A&M University
2671,Tito Maddox,2003,2003,G,6-4,190,"June 7, 1981",Fresno State
2672,Gerald Madkins,1994,1998,G,6-4,200,"April 18, 1969",UCLA
2673,Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976",Stanford
2674,Norm Mager,1951,1951,F,6-5,185,"March 23, 1926",City College of New York
2675,Josh Magette,2018,2020,G,6-1,160,"November 28, 1989",Alabama-Huntsville
2676,Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979",Duke
2677,Dave Magley,1983,1983,F,6-8,202,"November 24, 1959",Kansas
2678,Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978",Kentucky
2679,Randolph Mahaffey,1968,1971,F,6-7,210,"September 28, 1945",Clemson
2680,Ian Mahinmi,2008,2020,C,6-11,262,"November 5, 1986",
2681,John Mahnken,1947,1953,C,6-8,220,"June 16, 1922",Georgetown
2682,Brian Mahoney,1973,1973,G,6-3,175,"December 17, 1948",Manhattan College
2683,Mo Mahoney,1953,1954,F,6-2,205,"November 20, 1927",Brown University
2684,Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton
2685,Dan Majerle,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University
2686,Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","South Plains College, Fresno State"
2687,Thon Maker,2017,2021,F-C,7-0,221,"February 25, 1997",
2688,Lionel Malamed,1949,1949,G,5-9,150,"November 15, 1924",City College of New York
2689,Théo Maledon,2021,2021,G,6-4,175,"June 12, 2001",
2690,Jeff Malone,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State
2691,Karl Malone*,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech
2692,Moses Malone*,1975,1995,C-F,6-10,215,"March 23, 1955",
2693,Matt Maloney,1997,2003,G,6-3,192,"December 6, 1971","Vanderbilt, Penn"
2694,Steve Malovic,1980,1980,F,6-10,230,"July 21, 1956","USC, San Diego State"
2695,Mike Maloy,1971,1973,F,6-7,215,"May 10, 1949",Davidson
2696,Ted Manakas,1974,1974,G,6-2,180,"February 22, 1951",Princeton
2697,John Mandic,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State
2698,Karim Mané,2021,2021,G,6-3,190,"May 16, 2000",Vanier College
2699,Frank Mangiapane,1947,1947,G,5-10,195,"August 5, 1925",NYU
2700,Terance Mann,2020,2021,G-F,6-5,215,"October 18, 1996",Florida State
2701,Danny Manning,1989,2003,F-C,6-10,230,"May 17, 1966",Kansas
2702,Ed Manning,1968,1976,F,6-7,210,"January 2, 1944",Jackson State University
2703,Guy Manning,1968,1969,F,6-6,195,"February 4, 1944",Prairie View A&M University
2704,Rich Manning,1996,1997,C,6-11,253,"June 23, 1970","Syracuse, Washington"
2705,Nico Mannion,2021,2021,G,6-2,190,"March 14, 2001",Arizona
2706,Pace Mannion,1984,1989,G,6-7,190,"September 22, 1960",Utah
2707,Nick Mantis,1960,1963,G,6-3,190,"December 7, 1935",Northwestern
2708,Pete Maravich*,1971,1980,G,6-5,197,"June 22, 1947",LSU
2709,Press Maravich,1947,1947,G,6-0,185,"August 29, 1915",Davis & Elkins College
2710,Devyn Marble,2015,2016,G-F,6-6,200,"September 21, 1992",Iowa
2711,Roy Marble,1990,1994,G-F,6-6,190,"December 13, 1966",Iowa
2712,Stephon Marbury,1997,2009,G,6-2,180,"February 20, 1977",Georgia Tech
2713,Šarūnas Marčiulionis*,1990,1997,G,6-5,200,"June 13, 1964",
2714,Saul Mariaschin,1948,1948,G,5-11,165,"September 1, 1924",Harvard University
2715,Jack Marin,1967,1977,F-G,6-7,200,"October 12, 1944",Duke
2716,Shawn Marion,2000,2015,F,6-7,220,"May 7, 1978",UNLV
2717,Boban Marjanović,2016,2021,C,7-4,290,"August 15, 1988",
2718,Lauri Markkanen,2018,2021,F-C,7-0,240,"May 22, 1997",Arizona
2719,Damir Markota,2007,2007,C,6-10,225,"December 26, 1985",
2720,Sean Marks,1999,2011,F-C,6-10,250,"August 23, 1975",California
2721,Harvey Marlatt,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan
2722,Jim Marsh,1972,1972,F,6-7,215,"April 26, 1946",USC
2723,Ricky Marsh,1978,1978,G,6-3,200,"March 10, 1954",Manhattan College
2724,Donny Marshall,1996,2003,F,6-7,230,"July 17, 1972",UConn
2725,Donyell Marshall,1995,2009,F,6-9,218,"May 18, 1973",UConn
2726,Kendall Marshall,2013,2016,G,6-4,200,"August 19, 1991",UNC
2727,Naji Marshall,2021,2021,F,6-7,220,"January 24, 1998",Xavier
2728,Rawle Marshall,2006,2007,G-F,6-9,190,"February 20, 1982","Ball State University, Oakland"
2729,Tom Marshall,1955,1959,F-G,6-4,215,"January 6, 1931",Western Kentucky
2730,Vester Marshall,1974,1974,F,6-7,200,"December 22, 1948",Oklahoma
2731,Bill Martin,1986,1988,F,6-7,205,"August 16, 1962",Georgetown
2732,Bob Martin,1994,1995,C,7-0,250,"October 7, 1969",Minnesota
2733,Brian Martin,1986,1986,F,6-9,212,"August 18, 1962",Kansas
2734,Caleb Martin,2020,2021,F,6-5,205,"September 28, 1995","NC State, Nevada"
2735,Cartier Martin,2009,2015,F,6-7,220,"November 20, 1984",Kansas State
2736,Cody Martin,2020,2021,G-F,6-5,205,"September 28, 1995","NC State, Nevada"
2737,Cuonzo Martin,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue
2738,Darrick Martin,1995,2008,G,5-11,170,"March 6, 1971",UCLA
2739,Dino Martin,1947,1948,G,5-8,160,"May 25, 1920",Georgetown
2740,Don Martin,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University
2741,Fernando Martín,1987,1987,C,6-9,220,"March 25, 1962",
2742,Jarell Martin,2016,2019,F,6-10,239,"May 24, 1994",LSU
2743,Jeff Martin,1990,1991,G,6-5,195,"January 14, 1967",Murray State
2744,Jeremiah Martin,2020,2020,G,6-3,185,"June 19, 1996",Memphis
2745,Kelan Martin,2020,2021,F,6-5,230,"August 3, 1995",Butler
2746,Kenyon Martin,2001,2015,F,6-9,234,"December 30, 1977",Cincinnati
2747,Kenyon Martin,2021,2021,F,6-6,215,"January 6, 2001",
2748,Kevin Martin,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University
2749,LaRue Martin,1973,1976,C,6-11,208,"March 30, 1950",Loyola Chicago
2750,Maurice Martin,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's
2751,Phil Martin,1955,1955,G,6-3,190,"April 2, 1928",Toledo
2752,Slater Martin*,1950,1960,G,5-10,170,"October 22, 1925",Texas
2753,Whitey Martin,1962,1962,G,6-2,185,"April 11, 1939",St. Bonaventure
2754,Jamal Mashburn,1994,2004,F,6-8,240,"November 29, 1972",Kentucky
2755,Al Masino,1953,1954,G,5-10,174,"February 5, 1928",Canisius
2756,Anthony Mason,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State
2757,Desmond Mason,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State
2758,Frank Mason,2018,2021,G,5-11,190,"April 3, 1994",Kansas
2759,Roger Mason,2003,2014,G,6-5,200,"September 10, 1980",Virginia
2760,Tony Massenburg,1991,2005,F,6-9,220,"July 31, 1967",Maryland
2761,Eddie Mast,1971,1973,F-C,6-9,220,"October 3, 1948",Temple
2762,Yante Maten,2019,2019,F,6-8,240,"August 14, 1996",Georgia
2763,Garrison Mathews,2020,2021,G,6-5,215,"October 24, 1996",Lipscomb
2764,Mangok Mathiang,2018,2018,C-F,6-10,230,"October 8, 1992",Louisville
2765,Dakota Mathias,2021,2021,G,6-4,200,"July 11, 1995",Purdue
2766,Johnny Mathis,1968,1968,F,6-6,220,"July 14, 1943",Savannah State University
2767,Wes Matthews,1981,1990,G,6-1,170,"August 24, 1959",Wisconsin
2768,Wesley Matthews,2010,2021,G,6-4,220,"October 14, 1986",Marquette
2769,Ariel Maughan,1947,1951,F,6-4,190,"February 23, 1923",Utah State University
2770,Marlon Maxey,1993,1994,F,6-8,250,"February 19, 1969","Minnesota, Texas-El Paso"
2771,Tyrese Maxey,2021,2021,G,6-2,200,"November 4, 2000",Kentucky
2772,Jason Maxiell,2006,2015,F,6-7,260,"February 18, 1983",Cincinnati
2773,Cedric Maxwell,1978,1988,F,6-8,205,"November 21, 1955",UNC Charlotte
2774,Vernon Maxwell,1989,2001,G,6-4,180,"September 12, 1965",Florida
2775,Don May,1969,1975,F,6-4,200,"January 3, 1946",Dayton
2776,Scott May,1977,1983,F,6-7,215,"March 19, 1954",Indiana
2777,Sean May,2006,2010,F,6-9,266,"April 4, 1984",UNC
2778,Lee Mayberry,1993,1999,G,6-1,172,"June 12, 1970",Arkansas
2779,Clyde Mayes,1976,1977,F,6-8,225,"March 17, 1953",Furman University
2780,Tharon Mayes,1992,1992,G,6-3,175,"September 9, 1968",Florida State
2781,Bill Mayfield,1981,1981,F,6-7,205,"October 17, 1957",Iowa
2782,Ken Mayfield,1976,1976,G,6-2,185,"May 11, 1948",Tuskegee University
